scorer,DLC_resnet50_ymazeanalysis10_27shuffle1_50000,DLC_resnet50_ymazeanalysis10_27shuffle1_50000,DLC_resnet50_ymazeanalysis10_27shuffle1_50000,DLC_resnet50_ymazeanalysis10_27shuffle1_50000,DLC_resnet50_ymazeanalysis10_27shuffle1_50000,DLC_resnet50_ymazeanalysis10_27shuffle1_50000,DLC_resnet50_ymazeanalysis10_27shuffle1_50000,DLC_resnet50_ymazeanalysis10_27shuffle1_50000,DLC_resnet50_ymazeanalysis10_27shuffle1_50000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,200.73776245117188,461.20452880859375,0.001037001609802246,318.4683532714844,0.6488463878631592,0.00021412968635559082,3.196568012237549,-1.690615177154541,0.0002631545066833496
1,200.7380828857422,461.20703125,0.001034379005432129,318.4416809082031,0.6369776725769043,0.00022479891777038574,3.188750982284546,-1.6841578483581543,0.00026547908782958984
2,200.73695373535156,461.2079772949219,0.0010354816913604736,318.4416198730469,0.6369178295135498,0.00022491812705993652,3.188739061355591,-1.6841487884521484,0.00026553869247436523
3,200.73695373535156,461.2079772949219,0.0010354816913604736,318.4416198730469,0.63692307472229,0.00022497773170471191,3.1887385845184326,-1.6841487884521484,0.00026553869247436523
4,200.73695373535156,461.2079772949219,0.0010354816913604736,318.4416198730469,0.636925220489502,0.00022491812705993652,3.1887388229370117,-1.684150218963623,0.00026547908782958984
5,200.73695373535156,461.2079772949219,0.0010354816913604736,318.4416198730469,0.6369273662567139,0.00022491812705993652,3.188736915588379,-1.6841497421264648,0.00026553869247436523
6,200.73695373535156,461.2079772949219,0.0010354816913604736,318.4416198730469,0.6369264125823975,0.00022488832473754883,3.188736915588379,-1.6841497421264648,0.00026553869247436523
7,200.73695373535156,461.2079772949219,0.0010354816913604736,318.4416198730469,0.6369264125823975,0.00022497773170471191,3.188736915588379,-1.6841497421264648,0.00026553869247436523
8,200.73695373535156,461.2079772949219,0.0010354816913604736,318.4416198730469,0.6369271278381348,0.00022491812705993652,3.188736915588379,-1.6841497421264648,0.00026553869247436523
9,200.73695373535156,461.2079772949219,0.0010354816913604736,318.4416198730469,0.6369271278381348,0.00022491812705993652,3.188736915588379,-1.6841497421264648,0.00026553869247436523
10,200.6289520263672,461.1720886230469,0.0014645159244537354,318.4425964355469,0.645632266998291,0.0002194046974182129,3.163264274597168,-1.7123222351074219,0.00026413798332214355
11,200.72427368164062,461.2207946777344,0.000877678394317627,318.4946594238281,0.7223160266876221,0.00023412704467773438,3.2048864364624023,-1.6132431030273438,0.000277787446975708
12,83.21520233154297,428.192138671875,0.0007380545139312744,318.6612548828125,0.7411885261535645,0.0001945197582244873,3.265481472015381,-1.6711115837097168,0.00029471516609191895
13,83.22716522216797,428.1238708496094,0.0006654262542724609,318.6241760253906,0.7599575519561768,0.00020304322242736816,3.3274073600769043,-1.629279613494873,0.0002968013286590576
14,83.1248550415039,428.0539855957031,0.000846564769744873,318.6263122558594,0.695101261138916,0.00020444393157958984,3.333491802215576,-1.6824769973754883,0.00031247735023498535
15,83.06214904785156,428.1408386230469,0.001235276460647583,318.6423034667969,0.6837313175201416,0.00021353363990783691,3.332103967666626,-1.6798863410949707,0.0003053247928619385
16,83.05290985107422,428.13970947265625,0.0011973083019256592,318.63397216796875,0.6819751262664795,0.00021767616271972656,3.3440780639648438,-1.6709036827087402,0.0003077387809753418
17,83.05425262451172,428.13800048828125,0.001190871000289917,318.6333923339844,0.682422399520874,0.00021845102310180664,3.345161199569702,-1.6681528091430664,0.0003077089786529541
18,83.05274200439453,428.13818359375,0.001190781593322754,318.63397216796875,0.6821596622467041,0.0002180337905883789,3.3451669216156006,-1.6681208610534668,0.0003077089786529541
19,83.05274200439453,428.13818359375,0.001190781593322754,318.63397216796875,0.6821596622467041,0.0002180337905883789,3.3451669216156006,-1.6681208610534668,0.0003077089786529541
20,83.05274200439453,428.13818359375,0.001190781593322754,318.63397216796875,0.6821596622467041,0.0002180337905883789,3.3451669216156006,-1.6681208610534668,0.0003077089786529541
